target_date,activity_pattern,note,outcome_label
2026-04-22,permit_surge,Riverfront mixed-use wave: P-2026-01011 cleared plan review in three weeks and broke ground,advanced
2026-04-15,permit_surge,Mixed week: P-2026-00990 passed its foundation inspection while P-2026-00975 failed framing twice,mixed
2026-03-15,permit_surge,Two warehouse filings in East Industrial; P-2026-00788 sat at drainage review for six weeks,stalled
2026-03-08,permit_surge,Retail shell P-2026-00760 failed two inspections then went on hold,stalled
2026-02-08,permit_surge,Downtown tenant-improvement cluster; P-2026-00512 issued in nine days,advanced
2026-04-30,seasonal_slowdown,Light week; P-2026-01044 the only notable filing and it moved into review on schedule,advanced
2026-03-22,seasonal_slowdown,Filings flat; P-2026-00801 sat in review with no examiner assigned,stalled
2026-02-15,approval_backlog,Plan-review queue at seven weeks; P-2026-00588 finally issued after resubmittal,advanced
2026-01-30,approval_backlog,Backlog peaked; P-2026-00344 expired unworked,stalled
2026-01-18,permit_surge,Hotel filing P-2026-00301 went on hold after its variance hearing was continued,stalled
